DisplayName,PackageName,Version,PackageManager
1Password,AgileBits.1Password,,winget
Royal TS,RoyalApps.RoyalTS,,winget
Chrome,Google.Chrome,,winget
Notepad++,Notepad++.Notepad++,,winget
GIMP,GIMP.GIMP,,winget
Audacity,Audacity.Audacity,,winget
Rufus,Rufus.Rufus,,winget
7-Zip,7zip.7zip,,winget
WinRAR,RARLab.WinRAR,,winget
Advanced IP Scanner,Famatech.AdvancedIPScanner,,winget
Double Commander,alexx2000.DoubleCommander,,winget
Mp3tag,Mp3tag.Mp3tag,,winget
Cyberduck,Iterate.Cyberduck,,winget
Greenshot,Greenshot.Greenshot,,winget
WinDirStat,WinDirStat.WinDirStat,,winget
Postman,Postman.Postman,,winget
Win32 Disk Imager,Win32diskimager.win32diskimager,,winget
VLC,VideoLAN.VLC,,winget
CrystalDiskInfo,CrystalDewWorld.CrystalDiskInfo,,winget
MakeMKV,GuinpinSoft.MakeMKV,,winget
HandBrake,HandBrake.HandBrake,,winget
DupeGuru,DupeGuru.DupeGuru,,winget
WinMerge,WinMerge.WinMerge,,winget
TeamViewer,TeamViewer.TeamViewer,,winget
Fiddler Everywhere,Telerik.Fiddler.Everywhere,,winget
DB Browser for SQLite,DBBrowserForSQLite.DBBrowserForSQLite,,winget
DBeaver,dbeaver.dbeaver,,winget
HeidiSQL,HeidiSQL.HeidiSQL,,winget
Git,Git.Git,,winget
MQTT Explorer,thomasnordquist.MQTT-Explorer,,winget
MKVToolNix,MKVToolNix.MKVToolNix,,winget
Ueli,OliverSchwendener.ueli,,winget
Spotify,Spotify.Spotify,,winget
Telegram Desktop,Telegram.TelegramDesktop,,winget
VisualStudio Code,Microsoft.VisualStudioCode,,winget
File Converter,AdrienAllard.FileConverter,,winget
LockHunter,CrystalRich.LockHunter,,winget
Batch Image Resizer,BinaryMark.BatchImageResizer,,winget
ImageMagick,ImageMagick.ImageMagick,,winget
Master Packager,MasterPackager.MasterPackager,,winget
Packet Sender,NagleCode.PacketSender,,winget
Tera Term,TeraTermProject.teraterm,,winget
TeraCopy,CodeSector.TeraCopy,,winget
Paint.NET,paint.net,,winget
NTLite,ntlite-free,,winget
Sysinternals,sysinternals,,winget
Process Hacker,processhacker,,winget
VeraCrypt,veracrypt,,winget
Node Version Manager,CoreyButler.NVMforWindows,,winget
TCPView,tcpview,,winget
RegShot,regshot,,winget
Non-Sucking Service Manager,nssm,,winget
OpenAudible,openaudible,,winget
KiTTY,kitty,,winget
FreeFileSync,freefilesync,,winget
OhMyPosh,JanDeDobbeleer.OhMyPosh,,winget
PowerToys,Microsoft.PowerToys,,winget
PowerBI Desktop,Microsoft.PowerBI,,winget
PowerShell,Microsoft.PowerShell,,winget
